sciName,comName,speciesCode
Dicrurus densus kuehni,Wallacean Drongo (Tanimbar),waldro6
Dicrurus densus megalornis,Wallacean Drongo (Kai),waldro3
Dicrurus megarhynchus,Ribbon-tailed Drongo,ritdro1
Dicrurus bracteatus,Spangled Drongo,spadro1
Dicrurus bracteatus morotensis,Spangled Drongo (Morotai),spadro7
Dicrurus bracteatus atrocaeruleus,Spangled Drongo (Halmahera),spadro5
Dicrurus bracteatus buruensis,Spangled Drongo (Buru),spadro3
Dicrurus bracteatus amboinensis,Spangled Drongo (Seram),spadro9
Dicrurus bracteatus carbonarius,Spangled Drongo (Papuan),spadro8
Dicrurus bracteatus laemostictus,Spangled Drongo (Bismarck),spadro2
Dicrurus bracteatus meeki,Spangled Drongo (Guadalcanal),spadro4
Dicrurus bracteatus longirostris,Spangled Drongo (Makira),spadro6
Dicrurus bracteatus [bracteatus Group],Spangled Drongo (Spangled),spadro10
Dicrurus [undescribed form],Bacan Drongo (undescribed form),bacdro1
Dicrurus menagei,Tablas Drongo,tabdro1
Dicrurus andamanensis,Andaman Drongo,anddro1
Dicrurus paradiseus,Greater Racket-tailed Drongo,grtdro1
Dicrurus remifer/paradiseus,Lesser/Greater Racket-tailed Drongo,y00410
Dicrurus lophorinus,Sri Lanka Drongo,srldro1
Dicrurus sp.,drongo sp.,drongo1
Lycocorax pyrrhopterus,Halmahera Paradise-crow,paradi2
Lycocorax obiensis,Obi Paradise-crow,paradi3
Phonygammus keraudrenii,Trumpet Manucode,truman1
Manucodia comrii,Curl-crested Manucode,cucman1
Manucodia chalybatus,Crinkle-collared Manucode,crcman2
Manucodia jobiensis,Jobi Manucode,jobman1
Manucodia ater,Glossy-mantled Manucode,glmman2
Phonygammus/Manucodia sp.,manucode sp.,manuco1
Pteridophora alberti,King-of-Saxony Bird-of-Paradise,kospar1
Parotia carolae,Carola's Parotia,carpar1
Parotia berlepschi,Bronze Parotia,carpar3
Parotia sefilata,Western Parotia,wespar1
Parotia wahnesi,Wahnes's Parotia,wahpar1
Parotia lawesii,Lawes's Parotia,lawpar3
Parotia helenae,Eastern Parotia,lawpar2
Parotia lawesii/helenae,Lawes's/Eastern Parotia,lawpar1
Seleucidis melanoleucus,Twelve-wired Bird-of-Paradise,twwbop1
Drepanornis albertisi,Black-billed Sicklebill,blbsic1
Drepanornis bruijnii,Pale-billed Sicklebill,pabsic1
Semioptera wallacii,Standardwing Bird-of-Paradise,walsta2
Lophorina superba,Vogelkop Lophorina,vosbop1
Lophorina latipennis,Greater Lophorina,grsbop1
Lophorina minor,Lesser Lophorina,lesbop1
Lophorina sp.,lophorina sp.,lophor1
Ptiloris paradiseus,Paradise Riflebird,parrif1
Ptiloris victoriae,Victoria's Riflebird,vicrif1
Ptiloris magnificus,Magnificent Riflebird,magrif3
Ptiloris intercedens,Growling Riflebird,magrif2
Epimachus fastosus,Black Sicklebill,blasic1
Epimachus meyeri,Brown Sicklebill,brosic1
Paradigalla carunculata,Long-tailed Paradigalla,lotpar1
Paradigalla brevicauda,Short-tailed Paradigalla,shtpar1
Astrapia splendidissima,Splendid Astrapia,splast1
Astrapia nigra,Arfak Astrapia,arfast1
Astrapia rothschildi,Huon Astrapia,huoast1
Astrapia stephaniae,Stephanie's Astrapia,prsast1
Astrapia mayeri,Ribbon-tailed Astrapia,ritast1
Astrapia stephaniae x mayeri,Stephanie's x Ribbon-tailed Astrapia (hybrid),x00413
Cicinnurus regius,King Bird-of-Paradise,kbopar1
Diphyllodes respublica,Wilson's Bird-of-Paradise,wbopar1
Diphyllodes magnificus,Magnificent Bird-of-Paradise,mbopar2
Paradisornis rudolphi,Blue Bird-of-Paradise,bbopar1
Paradisaea guilielmi,Emperor Bird-of-Paradise,ebopar1
Paradisaea rubra,Red Bird-of-Paradise,rbopar2
Paradisaea decora,Goldie's Bird-of-Paradise,gbopar1
Paradisaea minor,Lesser Bird-of-Paradise,lbopar1
Paradisaea raggiana,Raggiana Bird-of-Paradise,rbopar1
Paradisaea minor x raggiana,Lesser x Raggiana Bird-of-Paradise (hybrid),x00814
Paradisaea apoda,Greater Bird-of-Paradise,gbopar2
Paradisaea raggiana x apoda,Raggiana x Greater Bird-of-Paradise (hybrid),x00929
Ifrita kowaldi,Blue-capped Ifrita,bucifr1
Trochocercus nitens,Blue-headed Crested Flycatcher,bhcfly1
Trochocercus cyanomelas,African Crested Flycatcher,afcfly1
Trochocercus cyanomelas [bivittatus Group],African Crested Flycatcher (Eastern),afrcrf1
Trochocercus cyanomelas cyanomelas/segregus,African Crested Flycatcher (Southern),afrcrf2
Hypothymis helenae,Short-crested Monarch,shcmon1
Hypothymis azurea,Black-naped Monarch,blnmon1
Hypothymis puella,Pale-blue Monarch,pabmon1
Hypothymis coelestis,Celestial Monarch,celmon1
Terpsiphone cyanescens,Blue Paradise-Flycatcher,blpfly1
Terpsiphone cinnamomea,Rufous Paradise-Flycatcher,rupfly1
Terpsiphone cinnamomea unirufa,Rufous Paradise-Flycatcher (Northern),rufpaf1
Terpsiphone cinnamomea cinnamomea/talautensis,Rufous Paradise-Flycatcher (Southern),rufpaf2
Terpsiphone atrocaudata,Black Paradise-Flycatcher,japfly1
Terpsiphone atrocaudata atrocaudata/illex,Black Paradise-Flycatcher (Northern),blkpaf1
Terpsiphone atrocaudata periophthalmica,Black Paradise-Flycatcher (Philippines),jappaf3
Terpsiphone incei,Amur Paradise-Flycatcher,amupaf1
Terpsiphone atrocaudata/incei,Black/Amur Paradise-Flycatcher,y00976
Terpsiphone affinis,Blyth's Paradise-Flycatcher,blypaf1
Terpsiphone floris,Tenggara Paradise-Flycatcher,blypaf3
Hypothymis azurea x Terpsiphone affinis,Black-naped Monarch x Blyth's Paradise-Flycatcher (hybrid),x00463
Terpsiphone incei/affinis,Amur/Blyth's Paradise-Flycatcher,y00977
Terpsiphone bourbonnensis,Mascarene Paradise-Flycatcher,mapfly2
Terpsiphone paradisi,Indian Paradise-Flycatcher,aspfly1
Terpsiphone affinis/paradisi,Blyth's/Indian Paradise-Flycatcher,y00978
Terpsiphone incei/affinis/paradisi,Amur/Blyth's/Indian Paradise-Flycatcher,y00742
Terpsiphone atrochalybeia,Sao Tome Paradise-Flycatcher,stpfly1
Terpsiphone corvina,Seychelles Paradise-Flycatcher,sepfly1
Terpsiphone mutata,Malagasy Paradise-Flycatcher,mapfly1
Terpsiphone mutata [mutata Group],Malagasy Paradise-Flycatcher (Malagasy),madpaf1
Terpsiphone mutata vulpina/voeltzkowiana,Malagasy Paradise-Flycatcher (Comoro),madpaf2
Terpsiphone mutata comorensis,Malagasy Paradise-Flycatcher (Grande Comore),madpaf3
Terpsiphone rufiventer,Black-headed Paradise-Flycatcher,bhpfly1
Terpsiphone rufiventer [rufiventer Group],Black-headed Paradise-Flycatcher (Red-bellied),bkhpaf1
Terpsiphone rufiventer tricolor/neumanni,Black-headed Paradise-Flycatcher (Tricolored),bkhpaf3
Terpsiphone rufiventer smithii,Black-headed Paradise-Flycatcher (Annobon),bkhpaf2
Terpsiphone bedfordi,Bedford's Paradise-Flycatcher,bepfly1
Terpsiphone rufocinerea,Rufous-vented Paradise-Flycatcher,rvpfly1
Terpsiphone batesi,Bates's Paradise-Flycatcher,batpaf1
Terpsiphone viridis,African Paradise-Flycatcher,afpfly1
Terpsiphone rufiventer x viridis,Black-headed x African Paradise-Flycatcher (hybrid),x00862
Terpsiphone rufocinerea x viridis,Rufous-vented x African Paradise-Flycatcher (hybrid),x01159
Terpsiphone rufocinerea/batesi,Rufous-vented/Bates's Paradise-Flycatcher,y01314
Terpsiphone sp.,paradise-flycatcher sp.,paradi1
Chasiempis sandwichensis,Hawaii Elepaio,elepai
Chasiempis sandwichensis sandwichensis,Hawaii Elepaio (Kona coast),elepai1
Chasiempis sandwichensis bryani,Hawaii Elepaio (Mauna Kea),elepai3
Chasiempis sandwichensis ridgwayi,Hawaii Elepaio (Hilo coast),elepai2
Chasiempis sclateri,Kauai Elepaio,elepai5
Chasiempis ibidis,Oahu Elepaio,elepai4
Pomarea nigra,Tahiti Monarch,tahmon2
Pomarea maupitiensis,Maupiti Monarch,maumon1
Pomarea dimidiata,Rarotonga Monarch,rarmon1
Pomarea fluxa,Eiao Monarch,eiamon1
Pomarea nukuhivae,Nuku Hiva Monarch,nuhmon1
Pomarea iphis,Iphis Monarch,iphmon2
Pomarea mira,Ua Pou Monarch,uapmon1
Pomarea mendozae,Marquesan Monarch,marmon2
Pomarea whitneyi,Fatu Hiva Monarch,fatmon1
Mayrornis versicolor,Ogea Monarch,ogemon1
Mayrornis lessoni,Slaty Monarch,slamon1
Mayrornis schistaceus,Vanikoro Monarch,vanmon1
Neolalage banksiana,Buff-bellied Monarch,bubmon1
Clytorhynchus pachycephaloides,Southern Shrikebill,soushr2
Clytorhynchus hamlini,Rennell Shrikebill,renshr1
Clytorhynchus vitiensis,Fiji Shrikebill,fijshr1
Clytorhynchus vitiensis powelli,Fiji Shrikebill (Manua),fijshr2
Clytorhynchus vitiensis [vitiensis Group],Fiji Shrikebill (Fiji),fijshr3
Clytorhynchus vitiensis fortunae,Fiji Shrikebill (Fortuna),fijshr4
Clytorhynchus vitiensis keppeli,Fiji Shrikebill (Dusky),fijshr5
Clytorhynchus nigrogularis,Black-throated Shrikebill,bktshr1
Clytorhynchus vitiensis/nigrogularis,Fiji/Black-throated Shrikebill,y00802
Clytorhynchus sanctaecrucis,Santa Cruz Shrikebill,bktshr2
Carterornis pileatus,White-naped Monarch,whnmon1
Carterornis castus,Tanimbar Monarch,loemon1
Carterornis leucotis,White-eared Monarch,whemon1
Carterornis chrysomela,Golden Monarch,golmon1
Metabolus rugensis,Chuuk Monarch,trumon1
Monarcha godeffroyi,Yap Monarch,yapmon1
Monarcha takatsukasae,Tinian Monarch,tinmon1
Monarcha cinerascens,Island Monarch,islmon1
Monarcha richardsii,White-capped Monarch,whcmon1
Monarcha castaneiventris,Chestnut-bellied Monarch,chbmon1
Monarcha castaneiventris castaneiventris/obscurior,Chestnut-bellied Monarch (Chestnut-bellied),chbmon2
Monarcha castaneiventris megarhynchus,Chestnut-bellied Monarch (Makira),chbmon3
Monarcha castaneiventris ugiensis,Chestnut-bellied Monarch (Ugi),chbmon4
Monarcha castaneiventris erythrostictus,Chestnut-bellied Monarch (Bougainville),boumon1
Monarcha melanopsis,Black-faced Monarch,blfmon1
Monarcha frater,Black-winged Monarch,blwmon1
Monarcha frater frater,Black-winged Monarch (Arfak),bkwmon1
Monarcha frater kunupi/periophthalmicus,Black-winged Monarch (Masked),bkwmon5
Monarcha frater canescens,Black-winged Monarch (Pearly),bkwmon4
Monarcha melanopsis x frater,Black-faced x Black-winged Monarch (hybrid),x00963
Monarcha sp.,Monarcha sp.,monarc1
Symposiachrus axillaris,Fan-tailed Monarch,blamon1
Symposiachrus rubiensis,Rufous Monarch,rufmon1
Symposiachrus sacerdotum,Flores Monarch,flomon1
Symposiachrus boanensis,Boano Monarch,blcmon1
Symposiachrus bimaculatus,Moluccan Spectacled Monarch,molmon1
Symposiachrus bimaculatus bimaculatus,Moluccan Spectacled Monarch (Halmahera),spemon3
Symposiachrus bimaculatus diadematus,Moluccan Spectacled Monarch (Obi),spemon4
Symposiachrus bimaculatus nigrimentum,Moluccan Spectacled Monarch (Seram),spemon6
Symposiachrus trivirgatus,Australian Spectacled Monarch,spemon1
Symposiachrus trivirgatus [trivirgatus Group],Australian Spectacled Monarch (Western),spemon2
Symposiachrus trivirgatus gouldii/melanorrhous,Australian Spectacled Monarch (Eastern),spemon5
Symposiachrus melanopterus,Louisiade Spectacled Monarch,spemon10
Symposiachrus leucurus,Kai Monarch,whtmon1
Symposiachrus everetti,Tanahjampea Monarch,whtmon2
Symposiachrus loricatus,Buru Monarch,bltmon2
Symposiachrus julianae,Kofiau Monarch,blbmon1
Symposiachrus brehmii,Biak Monarch,biamon1
Symposiachrus manadensis,Hooded Monarch,hoomon1
Symposiachrus infelix,Manus Monarch,manmon1
Symposiachrus menckei,Mussau Monarch,whbmon1
Symposiachrus verticalis,Bismarck Monarch,bltmon1
Symposiachrus verticalis ateralbus,Bismarck Monarch (Djaul),bktmon1
Symposiachrus verticalis verticalis,Bismarck Monarch (Black-tailed),bktmon2
Symposiachrus barbatus,Solomons Monarch,bawmon2
Symposiachrus malaitae,Malaita Monarch,bawmon4
Symposiachrus browni,Kolombangara Monarch,kolmon5
Symposiachrus nigrotectus,Vella Lavella Monarch,velmon1
Symposiachrus mundus,Banda Sea Monarch,blbmon2
Symposiachrus vidua,White-collared Monarch,whcmon2
Symposiachrus guttula,Spot-winged Monarch,spwmon1
Arses telescopthalmus,Frilled Monarch,frimon1
Arses lorealis,Frill-necked Monarch,frnmon1
Arses insularis,Ochre-collared Monarch,rucmon1
Arses telescopthalmus x insularis,Frilled x Ochre-collared Monarch (hybrid),x00813
Arses kaupi,Pied Monarch,piemon1
Grallina cyanoleuca,Magpie-lark,maglar1
Grallina bruijnii,Torrent-lark,torlar1
Myiagra erythrops,Palau Flycatcher,palfly3
Myiagra freycineti,Guam Flycatcher,guafly1
Myiagra pluto,Pohnpei Flycatcher,pohfly1
Myiagra oceanica,Chuuk Flycatcher,ocefly1
Myiagra atra,Biak Flycatcher,biafly1
Myiagra galeata,Moluccan Flycatcher,molfly1
Myiagra rubecula,Leaden Flycatcher,leafly2
Myiagra ferrocyanea,Steel-blue Flycatcher,stbfly1
Myiagra cervinicauda,Ochre-headed Flycatcher,ochfly1
Myiagra caledonica,Melanesian Flycatcher,melfly1
Myiagra vanikorensis,Vanikoro Flycatcher,vanfly1
Myiagra albiventris,Samoan Flycatcher,samfly1
Myiagra azureocapilla,Azure-crested Flycatcher,blcfly2
Myiagra castaneigularis,Chestnut-throated Flycatcher,chtfly1
Myiagra ruficollis,Broad-billed Flycatcher,brbfly1
Myiagra cyanoleuca,Satin Flycatcher,satfly1
Myiagra rubecula/cyanoleuca,Leaden/Satin Flycatcher,y00803
Myiagra inquieta,Restless Flycatcher,resfly1
Myiagra nana,Paperbark Flycatcher,papfly1
Myiagra inquieta/nana,Restless/Paperbark Flycatcher,y00894
Myiagra alecto,Shining Flycatcher,shifly1
Myiagra hebetior,Mussau Flycatcher,dulfly2
Myiagra eichhorni,Velvet Flycatcher,velfly1
Myiagra eichhorni eichhorni,Velvet Flycatcher (Velvet),dulfly3
Myiagra eichhorni cervinicolor,Velvet Flycatcher (Djaul),dulfly4
Myiagra sp.,Myiagra sp.,myiagr1
Corcorax melanorhamphos,White-winged Chough,whwcho1
Struthidea cinerea,Apostlebird,apostl1
Melampitta lugubris,Lesser Melampitta,lesmel1
Megalampitta gigantea,Greater Melampitta,gremel1
Platylophus galericulatus,Crested Jayshrike,crejay1
Corvinella corvina,Yellow-billed Shrike,yebshr1
Urolestes melanoleucus,Magpie Shrike,magshr1
Lanius tigrinus,Tiger Shrike,tigshr1
Lanius bucephalus,Bull-headed Shrike,buhshr1
Lanius collurio,Red-backed Shrike,rebshr1
Lanius phoenicuroides,Red-tailed Shrike,rutshr2
Lanius collurio x phoenicuroides,Red-backed x Red-tailed Shrike (hybrid),x00860
Lanius isabellinus,Isabelline Shrike,isashr1
Lanius isabellinus isabellinus,Isabelline Shrike (Daurian),rutshr3
Lanius isabellinus arenarius/tsaidamensis,Isabelline Shrike (Chinese),rutshr4
Lanius phoenicuroides/isabellinus,Red-tailed/Isabelline Shrike,rutshr1
Lanius cristatus,Brown Shrike,brnshr
Lanius cristatus cristatus/confusus,Brown Shrike (Brown),brnshr1
Lanius cristatus superciliosus,Brown Shrike (Japanese),brnshr2
Lanius cristatus lucionensis,Brown Shrike (Philippine),brnshr3
Lanius tigrinus x cristatus,Tiger x Brown Shrike (hybrid),x00464
Lanius phoenicuroides/isabellinus/cristatus,Red-tailed/Isabelline/Brown Shrike,y00975
Lanius collurioides,Burmese Shrike,burshr1
Lanius gubernator,Emin's Shrike,emishr1
Lanius vittatus,Bay-backed Shrike,babshr1
Lanius schach,Long-tailed Shrike,lotshr1
Lanius schach erythronotus/caniceps,Long-tailed Shrike (erythronotus/caniceps),lotshr2
Lanius schach schach,Long-tailed Shrike (schach),lotshr3
Lanius schach tricolor/longicaudatus,Long-tailed Shrike (tricolor/longicaudatus),lotshr4
Lanius schach schach x tricolor,Long-tailed Shrike (schach x tricolor),lotshr14
Lanius schach bentet,Long-tailed Shrike (bentet),lotshr5
Lanius schach [nasutus Group],Long-tailed Shrike (nasutus Group),lotshr6
Lanius vittatus/schach,Bay-backed/Long-tailed Shrike,y00411
Lanius tephronotus,Gray-backed Shrike,gybshr1
Lanius validirostris,Mountain Shrike,gycshr1
Lanius ludovicianus,Loggerhead Shrike,logshr
Lanius borealis,Northern Shrike,norshr4
Lanius borealis [mollis Group],Northern Shrike (Asian),norshr2
Lanius borealis borealis,Northern Shrike (American),norshr3
Lanius ludovicianus/borealis,Loggerhead/Northern Shrike,y00620
Lanius meridionalis,Iberian Gray Shrike,ibgshr1
Lanius excubitor,Great Gray Shrike,norshr1
Lanius excubitor [excubitor Group],Great Gray Shrike (Great Gray),grgshr2
Lanius excubitor [elegans Group],Great Gray Shrike (Sahara),grgshr4
Lanius excubitor aucheri/buryi,Great Gray Shrike (Arabian),grgshr1
Lanius excubitor uncinatus,Great Gray Shrike (Socotra),grgshr5
Lanius excubitor pallidirostris,Great Gray Shrike (Steppe),sogshr3
Lanius excubitor lahtora,Great Gray Shrike (Indian),grgshr3
Lanius borealis/excubitor,Northern/Great Gray Shrike,norshr
Lanius meridionalis/excubitor,Iberian Gray/Great Gray Shrike,y01040
Lanius minor,Lesser Gray Shrike,legshr2
Lanius sphenocercus,Chinese Gray Shrike,chgshr1
Lanius giganteus,Giant Shrike,chgshr3
Lanius sphenocercus/giganteus,Chinese Gray/Giant Shrike,chgshr2
Lanius excubitoroides,Gray-backed Fiscal,gybfis1
Lanius cabanisi,Long-tailed Fiscal,lotfis1
Lanius dorsalis,Taita Fiscal,taifis1
Lanius somalicus,Somali Fiscal,somfis1
Lanius mackinnoni,Mackinnon's Shrike,macshr1
Lanius humeralis,Northern Fiscal,norfis1
Lanius collaris,Southern Fiscal,soufis1
Lanius collaris marwitzi,Southern Fiscal (Uhehe),soufis2
Lanius collaris [collaris Group],Southern Fiscal (Southern),soufis3
Lanius humeralis/collaris,Northern/Southern Fiscal (Common Fiscal),comfis1
Lanius souzae,Souza's Shrike,soushr3
Lanius newtoni,Newton's Fiscal,newfis1
Lanius nubicus,Masked Shrike,masshr1
Lanius senator,Woodchat Shrike,wooshr1
Lanius senator senator,Woodchat Shrike (Western),wooshr2
Lanius senator badius,Woodchat Shrike (Balearic),wooshr3
Lanius senator niloticus,Woodchat Shrike (Caucasian),wooshr4
Lanius collurio x senator,Red-backed x Woodchat Shrike (hybrid),x00861
Laniidae sp.,shrike sp.,shrike
Eurocephalus ruppelli,White-rumped Shrike,whrshr1
Eurocephalus anguitimens,White-crowned Shrike,whcshr1
Platysmurus leucopterus,Malayan Black Magpie,blkmag1
Platysmurus aterrimus,Bornean Black Magpie,blkmag2
Perisoreus infaustus,Siberian Jay,sibjay1
Perisoreus internigrans,Sichuan Jay,sicjay1
Perisoreus canadensis,Canada Jay,gryjay
Perisoreus canadensis [canadensis Group],Canada Jay (Boreal),gryjay1
Perisoreus canadensis capitalis/bicolor,Canada Jay (Rocky Mts.),gryjay2
Perisoreus canadensis obscurus/griseus,Canada Jay (Pacific),gryjay3
Cyanolyca mirabilis,White-throated Jay,whtjay1
Cyanolyca nanus,Dwarf Jay,dwajay1
Cyanolyca pumilo,Black-throated Jay,bltjay1
Cyanolyca argentigula,Silvery-throated Jay,sitjay1
Cyanolyca cucullata,Azure-hooded Jay,azhjay1
Cyanolyca pulchra,Beautiful Jay,beajay1
Cyanolyca armillata,Black-collared Jay,blcjay2
Cyanolyca armillata armillata/meridana,Black-collared Jay (Black-collared),bkcjay1
Cyanolyca armillata quindiuna,Black-collared Jay (Quindio),bkcjay2
Cyanolyca turcosa,Turquoise Jay,turjay1
Cyanolyca viridicyanus,White-collared Jay,whcjay2
Cyanocorax colliei,Black-throated Magpie-Jay,btmjay
Cyanocorax formosus,White-throated Magpie-Jay,wtmjay1
Cyanocorax colliei x formosus,Black-throated x White-throated Magpie-Jay (hybrid),x00443
Cyanocorax colliei/formosus,Black-throated/White-throated Magpie-Jay,y01067
Cyanocorax morio,Brown Jay,brnjay
Cyanocorax caeruleus,Azure Jay,azujay1
Cyanocorax violaceus,Violaceous Jay,viojay1
Cyanocorax cyanomelas,Purplish Jay,purjay1
Cyanocorax cristatellus,Curl-crested Jay,cucjay1
Cyanocorax yncas,Green Jay,grnjay
Cyanocorax yncas [luxuosus Group],Green Jay (Green),grnjay1
Cyanocorax yncas [yncas Group],Green Jay (Inca),grnjay2
Cyanocorax mystacalis,White-tailed Jay,whtjay2
Cyanocorax melanocyaneus,Bushy-crested Jay,bucjay1
Cyanocorax yucatanicus,Yucatan Jay,yucjay1
Cyanocorax beecheii,Purplish-backed Jay,pubjay1
Cyanocorax sanblasianus,San Blas Jay,sabjay
Cyanocorax dickeyi,Tufted Jay,tufjay1
Cyanocorax affinis,Black-chested Jay,blcjay1
Cyanocorax heilprini,Azure-naped Jay,aznjay1
Cyanocorax heilprini heilprini,Azure-naped Jay (Azure-naped),aznjay2
Cyanocorax heilprini hafferi,Azure-naped Jay (Campina),camjay1
Cyanocorax cayanus,Cayenne Jay,cayjay1
Cyanocorax chrysops,Plush-crested Jay,plcjay1
Cyanocorax cyanopogon,White-naped Jay,whnjay1
Cyanocorax sp.,Cyanocorax sp.,cyanoc1
Gymnorhinus cyanocephalus,Pinyon Jay,pinjay
Cyanocitta stelleri,Steller's Jay,stejay
Cyanocitta stelleri [stelleri Group],Steller's Jay (Coastal),stejay1
Cyanocitta stelleri annectens,Steller's Jay (Northwest Interior),stejay8
Cyanocitta stelleri [diademata Group],Steller's Jay (Southwest Interior),stejay2
Cyanocitta stelleri [coronata Group],Steller's Jay (Middle American),stejay3
Cyanocitta cristata,Blue Jay,blujay
Cyanocorax yncas x Cyanocitta cristata,Green x Blue Jay (hybrid),bxgjay1
Cyanocitta stelleri x cristata,Steller's x Blue Jay (hybrid),x00622
Aphelocoma coerulescens,Florida Scrub-Jay,flsjay
Aphelocoma insularis,Island Scrub-Jay,issjay
Aphelocoma californica,California Scrub-Jay,cowscj1
Cyanocitta stelleri x Aphelocoma californica,Steller's Jay x California Scrub-Jay (hybrid),x00964
Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,wooscj2
Aphelocoma woodhouseii [woodhouseii Group],Woodhouse's Scrub-Jay (Woodhouse's),wooscj1
Aphelocoma woodhouseii sumichrasti/remota,Woodhouse's Scrub-Jay (Sumichrast's),wesscj1
Cyanocitta stelleri x Aphelocoma woodhouseii,Steller's Jay x Woodhouse's Scrub-Jay (hybrid),x00891
Aphelocoma californica/woodhouseii,California/Woodhouse's Scrub-Jay,wesjay
Aphelocoma wollweberi,Mexican Jay,mexjay4
Aphelocoma wollweberi [wollweberi Group],Mexican Jay (Arizona),mexjay1
Aphelocoma wollweberi couchii,Mexican Jay (Couch's),mexjay2
Aphelocoma wollweberi potosina,Mexican Jay (San Luis Potosi),mexjay5
Aphelocoma ultramarina,Transvolcanic Jay,mexjay3
Aphelocoma wollweberi/ultramarina,Mexican/Transvolcanic Jay,mexjay
Aphelocoma unicolor,Unicolored Jay,unijay1
Aphelocoma sp.,Aphelocoma sp.,scrjay
Garrulus glandarius,Eurasian Jay,eurjay1
Garrulus glandarius [glandarius Group],Eurasian Jay (Eurasian),eurjay2
Garrulus glandarius [atricapillus Group],Eurasian Jay (Black-capped),eurjay3
Garrulus glandarius [cervicalis Group],Eurasian Jay (Black-crowned),eurjay4
Garrulus glandarius hyrcanus,Eurasian Jay (Iranian),eurjay5
Garrulus glandarius [brandtii Group],Eurasian Jay (Brandt's),eurjay6
Garrulus glandarius [bispecularis Group],Eurasian Jay (Himalayan),eurjay7
Garrulus glandarius leucotis/oatesi,Eurasian Jay (White-faced),eurjay8
Garrulus glandarius [japonicus Group],Eurasian Jay (Japanese),eurjay9
Garrulus lanceolatus,Black-headed Jay,blhjay1
Garrulus lidthi,Lidth's Jay,lidjay1
Corvidae sp. (jay sp.),jay sp.,jay1
Cyanopica cooki,Iberian Magpie,azwmag3
Cyanopica cyanus,Azure-winged Magpie,azwmag2
Cyanopica cyanus [cyanus Group],Azure-winged Magpie (Azure-winged),azwmag1
Cyanopica cyanus japonica,Azure-winged Magpie (Japanese),azwmag4
Urocissa ornata,Sri Lanka Blue-Magpie,ceymag1
Urocissa caerulea,Taiwan Blue-Magpie,formag1
Urocissa flavirostris,Yellow-billed Blue-Magpie,gobmag1
Urocissa erythroryncha,Red-billed Blue-Magpie,rbbmag
Urocissa flavirostris/erythroryncha,Yellow-billed/Red-billed Blue-Magpie,y00804
Urocissa whiteheadi,White-winged Magpie,whwmag1
Urocissa whiteheadi xanthomelana,White-winged Magpie (Black-tailed),whwmag2
Urocissa whiteheadi whiteheadi,White-winged Magpie (Gray-tailed),whwmag3
Cissa chinensis,Common Green-Magpie,gremag1
Cissa chinensis [chinensis Group],Common Green-Magpie (Common),comgrm1
Cissa chinensis margaritae,Common Green-Magpie (Yellow-crowned),comgrm2
Cissa hypoleuca,Indochinese Green-Magpie,yebmag1
Cissa thalassina,Javan Green-Magpie,shtmag1
Cissa jefferyi,Bornean Green-Magpie,borgrm1
Cissa sp.,green-magpie sp.,greenm1
Dendrocitta vagabunda,Rufous Treepie,ruftre2
Dendrocitta formosae,Gray Treepie,grytre1
Dendrocitta vagabunda/formosae,Rufous/Gray Treepie,y00413
Dendrocitta occipitalis,Sumatran Treepie,sumtre1
Dendrocitta cinerascens,Bornean Treepie,bortre1
Dendrocitta leucogastra,White-bellied Treepie,whbtre1
Dendrocitta frontalis,Collared Treepie,coltre1
Dendrocitta bayleii,Andaman Treepie,andtre1
Crypsirina temia,Racket-tailed Treepie,rattre1
Crypsirina cucullata,Hooded Treepie,hootre1
Temnurus temnurus,Ratchet-tailed Treepie,rattre2
Dendrocitta/Crypsirina/Temnurus sp.,treepie sp.,treepi1
Pica mauritanica,Maghreb Magpie,eurmag3
Pica asirensis,Asir Magpie,eurmag5
Pica bottanensis,Black-rumped Magpie,eurmag6
Pica serica,Oriental Magpie,orimag1
Pica pica,Eurasian Magpie,eurmag1
Pica pica melanotos,Eurasian Magpie (Iberian),eurmag2
Pica pica [pica Group],Eurasian Magpie (Eurasian),eurmag4
Pica pica camtschatica,Eurasian Magpie (Kamchatkan),eurmag7
Pica serica/pica,Oriental/Eurasian Magpie,y01104
Pica hudsonia,Black-billed Magpie,bkbmag1
Pica nuttalli,Yellow-billed Magpie,yebmag
Pica sp.,Pica sp.,pica1
Zavattariornis stresemanni,Stresemann's Bush-Crow,stbcro1
Podoces hendersoni,Mongolian Ground-Jay,mogjay1
Podoces biddulphi,Xinjiang Ground-Jay,xigjay1
Podoces panderi,Turkestan Ground-Jay,tugjay1
Podoces pleskei,Iranian Ground-Jay,irgjay1
Nucifraga columbiana,Clark's Nutcracker,clanut
Nucifraga caryocatactes,Northern Nutcracker,eurnut3
Nucifraga hemispila,Southern Nutcracker,eurnut4
Nucifraga caryocatactes/hemispila,Northern/Southern Nutcracker,eurnut1
Nucifraga multipunctata,Kashmir Nutcracker,sponut1
Pyrrhocorax pyrrhocorax,Red-billed Chough,rebcho1
Pyrrhocorax pyrrhocorax [pyrrhocorax Group],Red-billed Chough (Red-billed),rebcho2
Pyrrhocorax pyrrhocorax baileyi,Red-billed Chough (Ethiopian),rebcho3
Pyrrhocorax graculus,Yellow-billed Chough,yebcho1
Pyrrhocorax pyrrhocorax/graculus,Red-billed/Yellow-billed Chough,y00895
